passengerid,survived,pclass,AccessToLifeboat,hasfamily,agebins,farebins,farebinssurvived,Title_Mr,Title_Miss,Title_Mrs,Title_Master,Title_Rare,male,FemAndChild,Q,S
68,1,2,1,1.0,5,4,0.0,0,0,1,0,0,0,1,0,1
69,1,2,1,1.0,2,5,1.0,0,0,1,0,0,0,1,0,1
70,0,1,1,1.0,5,7,0.0,0,0,0,0,1,1,0,0,1
71,1,3,1,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
72,0,2,0,0.0,2,5,1.0,1,0,0,0,0,1,0,0,1
73,1,1,0,1.0,2,7,0.0,0,0,1,0,0,0,1,0,0
74,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
75,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,1
76,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
77,1,3,0,1.0,0,6,0.0,0,1,0,0,0,0,1,0,1
78,1,3,1,1.0,2,4,0.0,1,0,0,0,0,1,0,1,0
79,0,2,0,1.0,3,5,1.0,0,0,0,0,1,1,0,0,1
80,1,2,1,1.0,0,5,1.0,0,1,0,0,0,0,1,0,1
81,1,1,1,1.0,5,7,0.0,0,0,1,0,0,0,1,0,0
82,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
83,1,3,0,1.0,3,5,1.0,0,0,1,0,0,0,1,0,1
84,1,1,1,0.0,2,7,0.0,0,1,0,0,0,0,1,0,1
85,1,1,1,0.0,3,5,1.0,0,1,0,0,0,0,1,0,0
86,1,2,1,1.0,3,5,1.0,0,0,1,0,0,0,1,0,1
87,1,1,1,0.0,2,5,1.0,1,0,0,0,0,1,0,0,1
88,0,3,0,1.0,4,5,1.0,0,0,1,0,0,0,1,0,1
89,1,2,1,1.0,3,5,1.0,1,0,0,0,0,1,0,0,1
90,0,3,0,1.0,0,5,1.0,0,1,0,0,0,0,1,0,1
91,0,3,0,1.0,1,2,1.0,0,1,0,0,0,0,1,0,0
92,1,3,0,0.0,1,1,1.0,0,1,0,0,0,0,1,1,0
93,0,3,0,0.0,7,1,1.0,1,0,0,0,0,1,0,0,1
94,0,3,0,1.0,0,5,1.0,0,0,0,1,0,1,1,0,1
95,1,3,1,1.0,2,2,1.0,0,0,1,0,0,0,1,0,1
96,0,1,0,0.0,5,5,1.0,1,0,0,0,0,1,0,0,1
97,0,2,0,1.0,3,4,0.0,1,0,0,0,0,1,0,0,1
98,1,1,1,0.0,2,8,0.0,0,1,0,0,0,0,1,0,1
99,0,1,0,0.0,3,5,1.0,1,0,0,0,0,1,0,0,0
100,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
101,1,1,1,0.0,2,5,1.0,0,1,0,0,0,0,1,0,0
102,0,1,0,0.0,3,5,1.0,0,0,0,0,1,1,0,0,0
103,0,3,1,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
104,1,2,1,0.0,3,2,1.0,0,0,1,0,0,0,1,0,1
105,1,1,1,1.0,2,9,0.0,0,0,1,0,0,0,1,0,0
106,0,2,0,0.0,3,2,1.0,1,0,0,0,0,1,0,0,1
107,0,1,0,0.0,2,8,0.0,1,0,0,0,0,1,0,0,0
108,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,0
109,1,3,1,1.0,0,3,0.0,0,1,0,0,0,0,1,0,0
110,1,2,1,1.0,2,2,1.0,0,1,0,0,0,0,1,0,0
111,0,3,0,1.0,0,5,1.0,0,0,0,1,0,1,1,0,1
112,1,1,1,1.0,1,9,0.0,0,1,0,0,0,0,1,0,0
113,1,3,1,1.0,0,3,0.0,0,1,0,0,0,0,1,0,1
114,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
115,1,2,1,0.0,2,2,1.0,0,0,0,0,1,0,1,0,1
116,1,3,1,1.0,4,1,1.0,0,0,1,0,0,0,1,0,1
117,1,1,1,0.0,3,5,1.0,1,0,0,0,0,1,0,0,1
118,1,3,1,0.0,4,1,1.0,1,0,0,0,0,1,0,0,1
119,1,3,1,0.0,3,6,0.0,1,0,0,0,0,1,0,0,1
120,0,3,0,1.0,2,2,1.0,1,0,0,0,0,1,0,0,0
121,1,3,0,0.0,2,1,1.0,0,1,0,0,0,0,1,1,0
122,1,1,1,0.0,5,5,1.0,0,0,0,0,1,1,0,0,1
123,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,1
124,1,1,1,1.0,4,7,0.0,1,0,0,0,0,1,0,0,0
125,0,1,0,1.0,4,8,0.0,1,0,0,0,0,1,0,0,0
126,0,3,0,1.0,1,5,1.0,0,1,0,0,0,0,1,0,1
127,0,1,0,0.0,3,6,0.0,1,0,0,0,0,1,0,0,1
128,1,1,1,1.0,4,7,0.0,0,0,1,0,0,0,1,0,0
129,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
130,1,1,1,0.0,4,8,0.0,0,1,0,0,0,0,1,0,0
131,0,1,0,0.0,4,5,1.0,1,0,0,0,0,1,0,0,1
132,1,2,1,1.0,1,5,1.0,0,1,0,0,0,0,1,0,1
133,1,3,1,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
134,0,3,1,0.0,2,1,1.0,1,0,0,0,0,1,0,1,0
135,0,3,1,1.0,0,3,0.0,0,0,0,1,0,1,1,0,0
136,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,0
137,1,1,1,1.0,3,7,0.0,0,0,1,0,0,0,1,1,0
138,1,3,1,0.0,2,1,1.0,0,1,0,0,0,0,1,0,1
139,0,3,0,1.0,2,1,1.0,1,0,0,0,0,1,0,0,1
140,0,2,0,1.0,4,4,0.0,1,0,0,0,0,1,0,0,1
141,1,1,1,1.0,4,8,0.0,0,0,1,0,0,0,1,0,1
142,0,2,0,0.0,1,2,1.0,1,0,0,0,0,1,0,0,1
143,0,1,0,1.0,2,7,0.0,1,0,0,0,0,1,0,0,1
144,0,1,0,0.0,4,5,1.0,1,0,0,0,0,1,0,0,1
145,1,3,1,1.0,0,4,0.0,0,0,0,1,0,1,1,0,1
146,1,1,1,1.0,3,7,0.0,0,1,0,0,0,0,1,0,0
147,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,0
148,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
149,0,2,0,0.0,2,2,1.0,1,0,0,0,0,1,0,0,1
150,1,3,1,0.0,2,1,1.0,0,1,0,0,0,0,1,0,1
151,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
152,1,3,1,1.0,0,2,1.0,0,1,0,0,0,0,1,0,1
153,0,1,0,1.0,5,8,0.0,1,0,0,0,0,1,0,0,0
154,1,1,1,0.0,2,5,1.0,1,0,0,0,0,1,0,0,0
155,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
156,0,2,0,1.0,3,5,1.0,1,0,0,0,0,1,0,0,1
157,0,3,0,1.0,1,1,1.0,1,0,0,0,0,1,0,0,1
158,0,3,0,0.0,4,10,0.0,1,0,0,0,0,1,0,0,1
159,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
160,0,3,1,1.0,2,4,0.0,1,0,0,0,0,1,0,0,1
161,0,3,0,1.0,2,4,0.0,0,0,1,0,0,0,1,0,1
162,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
163,0,3,1,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
164,0,2,0,0.0,1,6,0.0,1,0,0,0,0,1,0,0,1
165,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
166,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
167,1,3,1,1.0,2,2,1.0,0,0,1,0,0,0,1,0,1
168,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
169,0,2,0,0.0,3,2,1.0,1,0,0,0,0,1,0,0,1
170,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
171,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
172,0,2,0,1.0,5,5,1.0,0,0,0,0,1,1,0,0,1
173,0,3,0,1.0,4,5,1.0,1,0,0,0,0,1,0,0,1
174,0,2,0,0.0,5,2,1.0,1,0,0,0,0,1,0,0,1
175,0,1,1,0.0,5,5,1.0,0,0,0,0,1,1,0,0,0
176,0,1,1,1.0,4,8,0.0,1,0,0,0,0,1,0,0,0
177,1,1,1,0.0,5,8,0.0,0,1,0,0,0,0,1,0,0
178,1,1,1,0.0,4,5,1.0,1,0,0,0,0,1,0,0,1
179,1,1,1,1.0,6,5,1.0,0,0,1,0,0,0,1,0,1
180,1,1,1,1.0,4,6,0.0,0,0,1,0,0,0,1,0,1
181,0,1,0,0.0,6,5,1.0,1,0,0,0,0,1,0,0,1
182,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
183,0,2,0,0.0,2,2,1.0,1,0,0,0,0,1,0,0,1
184,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
185,0,3,0,0.0,2,6,0.0,1,0,0,0,0,1,0,0,1
186,0,2,0,0.0,3,2,1.0,1,0,0,0,0,1,0,1,0
187,1,3,1,0.0,2,10,0.0,1,0,0,0,0,1,0,0,1
188,0,3,0,0.0,4,1,1.0,1,0,0,0,0,1,0,0,1
189,1,1,1,0.0,3,9,0.0,1,0,0,0,0,1,0,0,0
190,1,1,1,1.0,3,9,0.0,1,0,0,0,0,1,0,0,0
191,0,3,1,1.0,0,4,0.0,0,0,0,1,0,1,1,0,0
192,0,1,0,1.0,2,6,0.0,1,0,0,0,0,1,0,0,1
193,1,2,1,1.0,3,5,1.0,0,0,1,0,0,0,1,0,1
194,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,1
195,1,3,1,0.0,2,1,1.0,0,1,0,0,0,0,1,1,0
196,1,1,1,1.0,2,6,0.0,0,1,0,0,0,0,1,0,0
197,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,1,0
198,0,3,0,1.0,4,2,1.0,0,0,1,0,0,0,1,0,0
199,0,1,0,0.0,2,5,1.0,1,0,0,0,0,1,0,0,0
200,0,3,0,1.0,1,1,1.0,1,0,0,0,0,1,0,0,1
201,1,2,1,0.0,2,2,1.0,0,1,0,0,0,0,1,0,1
202,0,3,0,0.0,4,1,1.0,0,1,0,0,0,0,1,0,1
203,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
204,0,2,0,0.0,1,2,1.0,1,0,0,0,0,1,0,0,1
205,0,2,0,0.0,3,2,1.0,1,0,0,0,0,1,0,0,1
206,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,0
207,0,2,0,0.0,3,5,1.0,1,0,0,0,0,1,0,0,1
208,0,3,0,1.0,3,4,0.0,1,0,0,0,0,1,0,0,1
209,1,3,0,0.0,2,1,1.0,0,1,0,0,0,0,1,1,0
210,1,3,1,,2,1,,0,1,0,0,0,0,1,1,0
211,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
212,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
213,1,1,1,1.0,6,7,0.0,0,1,0,0,0,0,1,0,1
214,0,1,0,0.0,2,7,0.0,1,0,0,0,0,1,0,0,0
215,0,2,0,1.0,2,4,0.0,1,0,0,0,0,1,0,0,0
216,1,3,0,1.0,1,3,0.0,0,1,0,0,0,0,1,1,0
217,1,3,1,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
218,1,1,1,1.0,2,9,0.0,0,1,0,0,0,0,1,0,1
219,0,3,0,0.0,4,1,1.0,1,0,0,0,0,1,0,0,1
220,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,1,0
221,1,2,1,1.0,2,5,1.0,0,0,1,0,0,0,1,0,1
222,0,3,0,1.0,2,2,1.0,1,0,0,0,0,1,0,0,0
223,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,1
224,1,2,1,0.0,6,2,1.0,1,0,0,0,0,1,0,0,1
225,0,3,0,0.0,1,1,1.0,0,1,0,0,0,0,1,1,0
226,1,3,1,0.0,2,1,1.0,0,1,0,0,0,0,1,1,0
227,1,2,1,1.0,2,5,1.0,0,0,1,0,0,0,1,0,1
228,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
229,0,2,0,0.0,5,2,1.0,0,0,0,0,1,1,0,0,1
230,1,1,1,0.0,4,5,1.0,1,0,0,0,0,1,0,0,1
231,0,1,1,1.0,2,7,0.0,1,0,0,0,0,1,0,0,1
232,0,3,0,0.0,4,1,1.0,1,0,0,0,0,1,0,0,1
233,0,3,0,1.0,4,3,0.0,1,0,0,0,0,1,0,0,1
234,0,3,0,0.0,4,1,1.0,1,0,0,0,0,1,0,0,1
235,0,3,0,1.0,1,3,0.0,0,1,0,0,0,0,1,0,1
236,0,3,0,0.0,1,2,1.0,0,1,0,0,0,0,1,0,0
237,0,3,0,1.0,0,2,1.0,0,0,0,1,0,1,1,0,1
238,1,3,1,0.0,2,1,1.0,0,1,0,0,0,0,1,1,0
239,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
240,1,3,1,0.0,1,1,1.0,0,1,0,0,0,0,1,0,1
241,0,3,0,1.0,0,5,1.0,0,0,0,1,0,1,1,0,1
242,0,2,0,1.0,3,5,1.0,1,0,0,0,0,1,0,0,1
243,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
244,0,1,0,0.0,3,5,1.0,1,0,0,0,0,1,0,0,1
245,0,3,1,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
246,1,1,1,0.0,4,5,1.0,1,0,0,0,0,1,0,0,1
247,1,1,0,1.0,6,9,0.0,0,0,1,0,0,0,1,0,1
248,0,1,1,1.0,2,6,0.0,1,0,0,0,0,1,0,0,0
249,1,1,1,1.0,1,8,0.0,0,1,0,0,0,0,1,0,1
250,1,1,1,0.0,5,5,1.0,1,0,0,0,0,1,0,0,1
251,0,2,1,0.0,2,2,1.0,1,0,0,0,0,1,0,0,1
252,0,3,0,1.0,3,3,0.0,1,0,0,0,0,1,0,0,1
253,1,1,1,0.0,2,5,1.0,1,0,0,0,0,1,0,0,0
254,0,2,0,0.0,2,5,1.0,1,0,0,0,0,1,0,0,1
255,1,3,0,1.0,0,2,1.0,0,1,0,0,0,0,1,0,1
256,0,2,0,0.0,2,2,1.0,1,0,0,0,0,1,0,0,1
257,0,1,0,1.0,6,9,0.0,1,0,0,0,0,1,0,0,0
258,0,2,0,0.0,4,2,1.0,1,0,0,0,0,1,0,0,1
259,1,3,0,0.0,2,1,1.0,0,1,0,0,0,0,1,0,1
260,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,1
261,0,3,0,1.0,1,5,1.0,0,0,0,1,0,1,0,0,1
262,0,2,0,0.0,3,2,1.0,1,0,0,0,0,1,0,0,1
263,0,1,1,1.0,0,8,0.0,0,0,0,1,0,1,1,0,0
264,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
265,0,3,0,1.0,0,5,1.0,0,0,0,1,0,1,1,0,1
266,1,1,1,0.0,3,8,0.0,0,1,0,0,0,0,1,0,0
267,1,1,1,0.0,2,7,0.0,0,1,0,0,0,0,1,0,1
268,1,2,1,1.0,2,4,0.0,0,0,1,0,0,0,1,0,1
269,0,1,0,0.0,2,5,1.0,1,0,0,0,0,1,0,0,1
270,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,1,0
271,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
272,0,2,0,0.0,2,2,1.0,1,0,0,0,0,1,0,0,1
273,1,2,1,0.0,2,2,1.0,0,1,0,0,0,0,1,0,1
274,1,1,1,1.0,3,7,0.0,1,0,0,0,0,1,0,0,1
275,0,3,0,1.0,3,1,1.0,1,0,0,0,0,1,0,0,1
276,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
277,0,2,0,0.0,3,2,1.0,1,0,0,0,0,1,0,0,1
278,1,3,1,0.0,2,6,0.0,1,0,0,0,0,1,0,0,1
279,0,3,0,1.0,0,2,1.0,0,0,0,1,0,1,1,0,1
280,0,2,0,0.0,7,2,1.0,1,0,0,0,0,1,0,0,1
281,0,2,1,1.0,0,4,0.0,0,0,0,1,0,1,1,0,1
282,1,1,1,0.0,4,8,0.0,0,1,0,0,0,0,1,0,0
283,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,1
284,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
285,0,1,0,1.0,4,6,0.0,1,0,0,0,0,1,0,0,0
286,1,3,1,1.0,0,5,1.0,0,1,0,0,0,0,1,0,1
287,0,1,0,0.0,5,9,0.0,1,0,0,0,0,1,0,0,1
288,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,1
289,0,2,0,0.0,1,2,1.0,1,0,0,0,0,1,0,0,1
290,1,2,1,1.0,2,2,1.0,0,0,1,0,0,0,1,0,1
291,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,1
292,1,1,1,0.0,3,9,0.0,0,1,0,0,0,0,1,0,0
293,1,1,1,1.0,3,6,0.0,1,0,0,0,0,1,0,0,1
294,1,3,1,0.0,2,1,1.0,0,1,0,0,0,0,1,0,1
295,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
296,1,1,1,1.0,3,6,0.0,0,0,1,0,0,0,1,0,1
297,0,3,0,1.0,2,3,0.0,1,0,0,0,0,1,0,0,1
298,0,3,1,1.0,0,0,0.0,0,0,0,1,0,1,1,0,1
299,0,1,0,0.0,4,6,0.0,1,0,0,0,0,1,0,0,1
300,0,3,1,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
301,0,3,0,1.0,3,4,0.0,1,0,0,0,0,1,0,0,1
302,0,2,1,0.0,2,2,1.0,1,0,0,0,0,1,0,0,1
303,1,1,1,1.0,4,6,0.0,0,0,1,0,0,0,1,0,1
304,1,1,1,1.0,1,6,0.0,0,0,1,0,0,0,1,0,1
305,0,3,0,0.0,1,3,0.0,1,0,0,0,0,1,0,0,0
306,0,1,0,1.0,4,6,0.0,1,0,0,0,0,1,0,0,1
307,0,2,0,0.0,6,2,1.0,1,0,0,0,0,1,0,0,1
308,0,3,0,1.0,3,2,1.0,1,0,0,0,0,1,0,0,1
309,0,1,0,1.0,4,7,0.0,0,0,0,0,1,1,0,1,0
310,0,3,0,1.0,2,3,0.0,1,0,0,0,0,1,0,0,1
311,1,3,1,0.0,1,1,1.0,1,0,0,0,0,1,0,1,0
312,1,2,1,0.0,4,2,1.0,0,0,1,0,0,0,1,0,1
313,1,3,1,1.0,0,3,0.0,0,0,0,1,0,1,1,0,1
314,0,2,1,1.0,2,5,1.0,1,0,0,0,0,1,0,0,1
315,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
316,1,1,1,1.0,3,7,0.0,0,0,1,0,0,0,1,0,1
317,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
318,1,3,1,0.0,1,1,1.0,0,1,0,0,0,0,1,1,0
319,1,1,1,0.0,4,9,0.0,0,1,0,0,0,0,1,0,0
320,1,3,0,,3,1,,0,1,0,0,0,0,1,1,0
321,0,2,0,1.0,3,5,1.0,1,0,0,0,0,1,0,0,1
322,0,3,0,0.0,1,1,1.0,0,1,0,0,0,0,1,0,1
323,1,2,1,0.0,3,5,1.0,0,1,0,0,0,0,1,0,1
324,1,1,1,1.0,5,5,1.0,0,0,1,0,0,0,1,0,1
325,0,2,0,1.0,1,2,1.0,1,0,0,0,0,1,0,0,1
326,1,1,1,1.0,3,6,0.0,0,0,1,0,0,0,1,0,1
327,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
328,1,2,1,1.0,0,5,1.0,0,0,0,1,0,1,1,0,1
329,1,3,0,1.0,2,3,0.0,0,0,1,0,0,0,1,0,1
330,0,3,0,1.0,1,6,0.0,1,0,0,0,0,1,0,0,1
331,0,1,0,0.0,4,7,0.0,1,0,0,0,0,1,0,0,0
332,0,2,0,1.0,1,6,0.0,1,0,0,0,0,1,0,0,1
333,0,3,1,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
334,1,2,0,1.0,1,2,1.0,0,1,0,0,0,0,1,0,1
335,0,3,0,1.0,1,1,1.0,1,0,0,0,0,1,0,0,0
336,1,1,1,1.0,4,6,0.0,0,0,1,0,0,0,1,0,1
337,0,2,0,1.0,3,5,1.0,1,0,0,0,0,1,0,0,1
338,0,1,0,0.0,4,5,1.0,1,0,0,0,0,1,0,0,1
339,1,1,1,0.0,3,8,0.0,0,1,0,0,0,0,1,0,0
340,0,2,0,1.0,2,4,0.0,0,0,1,0,0,0,1,0,1
341,1,1,1,0.0,3,9,0.0,0,1,0,0,0,0,1,0,0
342,0,2,0,0.0,2,2,1.0,1,0,0,0,0,1,0,0,1
343,1,3,1,0.0,2,1,1.0,0,1,0,0,0,0,1,1,0
344,1,3,1,1.0,3,5,1.0,0,0,1,0,0,0,1,0,1
345,0,1,1,0.0,3,7,0.0,1,0,0,0,0,1,0,0,0
346,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,1,0
347,0,3,0,1.0,0,3,0.0,0,1,0,0,0,0,1,0,0
348,0,2,0,0.0,2,2,1.0,0,1,0,0,0,0,1,0,1
349,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
350,0,1,0,0.0,7,5,1.0,1,0,0,0,0,1,0,0,0
351,0,2,0,0.0,3,3,0.0,1,0,0,0,0,1,0,0,1
352,0,2,0,0.0,5,2,1.0,1,0,0,0,0,1,0,0,1
353,0,3,0,1.0,2,2,1.0,1,0,0,0,0,1,0,0,0
354,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
355,0,3,0,1.0,0,3,0.0,0,0,0,1,0,1,1,0,0
356,1,1,1,0.0,4,5,1.0,0,0,1,0,0,0,1,0,1
357,0,1,0,0.0,3,10,0.0,0,0,0,0,1,1,0,0,1
358,0,2,0,0.0,4,2,1.0,0,0,0,0,1,1,0,0,1
359,1,3,1,1.0,0,3,0.0,0,1,0,0,0,0,1,0,0
360,0,3,0,1.0,2,1,1.0,0,1,0,0,0,0,1,0,1
361,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,1,0
362,0,3,0,1.0,0,5,1.0,0,0,0,1,0,1,1,0,1
